category,sku,title,option,map,wholesale,shipping,profit,profitPct,10PD,15PD,notes
Baseball L-Screens,PROTECTIVE7X7,7x7 Protective Screen,Wheeled,$449.95,$321.00,$75.00,$128.95,28.7%,$83.95,$61.46,
Baseball L-Screens,PROTECTIVE7X7,7x7 Protective Screen,Padded w/wheels,$499.95,$358.00,$75.00,$141.95,28.4%,$91.95,$66.96,
Baseball L-Screens,SOCKNET7X7,7x7 Protective Screen w/ Sock Net,Standard,$399.95,$311.00,$75.00,$88.95,22.2%,$48.95,$28.96,
Baseball L-Screens,SOCKNET7X7,7x7 Protective Screen w/ Sock Net,Padded,$499.95,$369.00,$75.00,$130.95,26.2%,$80.95,$55.96,
Baseball L-Screens,SOCKNET7X7,7x7 Protective Screen w/ Sock Net,Wheeled,$499.95,$369.00,$75.00,$130.95,26.2%,$80.95,$55.96,
Baseball L-Screens,SOCKNET7X7,7x7 Protective Screen w/ Sock Net,Padded w/wheels,$549.95,$406.00,$75.00,$143.95,26.2%,$88.96,$61.46,
Baseball L-Screens,PROTECTIVE8X8,8x8 Protective Screen,Standard,$449.95,$367.00,$100.00,$82.95,18.4%,$37.95,$15.46,
Baseball L-Screens,PROTECTIVE8X8,8x8 Protective Screen,Padded,$549.95,$421.00,$100.00,$128.95,23.4%,$73.96,$46.46,
Baseball L-Screens,PROTECTIVE8X8,8x8 Protective Screen,Wheeled,$549.95,$421.00,$100.00,$128.95,23.4%,$73.96,$46.46,
Baseball L-Screens,PROTECTIVE8X8,8x8 Protective Screen,Padded w/wheels,$599.95,$456.00,$100.00,$143.95,24.0%,$83.96,$53.96,
Baseball L-Screens,PROTECTIVE10X10,10 x 10 Protective Screen,Standard,$549.95,$500.00,$100.00,$49.95,9.1%,$-5.04,$-32.54,
Baseball L-Screens,PROTECTIVE10X10,10 x 10 Protective Screen,Padded,$649.95,$548.00,$100.00,$101.95,15.7%,$36.96,$4.46,
Baseball L-Screens,PROTECTIVE10X10,10 x 10 Protective Screen,Wheeled,$649.95,$548.00,$100.00,$101.95,15.7%,$36.96,$4.46,
Baseball L-Screens,PROTECTIVE10X10,10 x 10 Protective Screen,Padded w/wheels,$699.95,$590.00,$100.00,$109.95,15.7%,$39.96,$4.96,
